maxtempC,mintempC,totalSnow_cm,sunHour,AQI_Explained
24,15,0,12.2,Very unhealthy
22,18,0,9.8,Hazardous
28,18,0,13.9,Hazardous
27,17,0,13.3,Hazardous
24,14,0,13.9,Unhealthy for sensitive groups
25,15,0,13.9,Very unhealthy
23,19,0,9.9,Very unhealthy
25,18,0,11,Very unhealthy
27,17,0,14,Very unhealthy
27,17,0,14,Unhealthy
27,20,0,12.2,Very unhealthy
26,20,0,8.7,Very unhealthy
26,20,0,8.7,Unhealthy
25,20,0,9.9,Very unhealthy
26,19,0,12.2,Hazardous
28,19,0,14,Hazardous
30,22,0,9.9,Very unhealthy
25,20,0,13.4,Unhealthy for sensitive groups
26,19,0,11.1,Unhealthy
28,18,0,12.2,Hazardous
30,20,0,14,Hazardous
26,21,0,8.8,Unhealthy
24,21,0,8.8,Unhealthy
26,20,0,9.9,Very unhealthy
29,22,0,8.8,Unhealthy
30,24,0,11.1,Hazardous
34,23,0,14.1,Hazardous
32,24,0,9.9,Hazardous
31,24,0,11.1,Very unhealthy
26,23,0,8.8,Very unhealthy
25,22,0,10.2,Unhealthy
29,22,0,10.2,Unhealthy for sensitive groups
24,20,0,11.2,Unhealthy for sensitive groups
27,19,0,14.5,Very unhealthy
28,21,0,14.5,Very unhealthy
27,21,0,10.2,Very unhealthy
27,21,0,9.1,Unhealthy
30,23,0,10.1,Hazardous
31,24,0,11.2,Hazardous
34,26,0,12.3,Very unhealthy
27,23,0,9.1,Very unhealthy
25,22,0,9.1,Unhealthy for sensitive groups
24,22,0,9.1,Unhealthy for sensitive groups
28,22,0,11.2,Very unhealthy
34,22,0,11.2,Hazardous
26,20,0,12.3,Very unhealthy
27,21,0,14.5,Hazardous
28,21,0,12.3,Hazardous
22,19,0,9,Hazardous
21,19,0,9,Unhealthy
20,18,0,9,Unhealthy for sensitive groups
24,19,0,10.1,Unhealthy for sensitive groups
25,20,0,9,Unhealthy
27,21,0,9,Unhealthy
29,23,0,13.4,Unhealthy for sensitive groups
24,23,0,9,Unhealthy for sensitive groups
29,23,0,11.2,Unhealthy
33,23,0,14,Hazardous
32,23,0,13.4,Hazardous
30,23,0,14,Unhealthy
29,23,0,9.7,Unhealthy
28,23,0,8.5,Very unhealthy
29,24,0,10.9,Unhealthy for sensitive groups
30,23,0,8.5,Unhealthy for sensitive groups
30,24,0,10.9,Unhealthy for sensitive groups
31,23,0,10.9,Very unhealthy
